category,title,total_used,used_grades
BTEC - National Vocational Qualification,BTEC Sport and Exercise Sciences (QCF),27,"[""Distinction"", ""Merit"", ""Distinction*"", ""Pass""]"
Specialist Music,Piano,27,"[""4"", ""3"", ""2"", ""6"", ""1"", ""8"", ""5""]"
BTEC - National Vocational Qualification,BTEC Achieving Excellence Sports Performance (QCF),27,"[""Merit"", ""Distinction*"", ""Distinction"", ""Pass""]"
i GCSE,Islamiyat ,27,"[""C"", ""B"", ""A*"", ""A"", ""6"", ""7""]"
i GCSE,Coordinated sciences (Double award) ,26,"[""A"", ""B"", ""C"", ""5"", ""A*""]"
BTEC - National Vocational Qualification,BTEC Food Safety Health and Social Care and Early Years and Childcare Settings (QCF),26,"[""Distinction"", ""Pass"", ""Merit"", ""Distinction*""]"
Specialist Music,Religious Studies,26,"[""B"", ""5"", ""A*"", ""8"", ""9"", ""6"", ""7"", ""2"", ""4""]"
i GCSE,English Literature,26,"[""B"", ""C"", ""4"", ""6"", ""7"", ""5"", ""A"", ""A*"", ""U""]"
BTEC - National Vocational Qualification,BTEC ICT Professional Competence (QCF),24,"[""Merit"", ""Pass"", ""Distinction"", ""Distinction*""]"
Project,Higher Project,22,"[""A*"", ""B"", ""C"", ""A"", ""6""]"
i GCSE,English as a second language (Count-in oral) ,21,"[""7"", ""A*"", ""B"", ""5"", ""4"", ""8"", ""3"", ""C""]"
i GCSE,Physical Education,21,"[""B"", ""6"", ""C"", ""8"", ""A"", ""5"", ""7"", ""3""]"
GCSE,Modern Greek,21,"[""A"", ""A*"", ""B"", ""C"", ""8"", ""9""]"
International Baccalaureate Middle Years Programme, Science,21,"[""5"", ""6"", ""A"", ""4"", ""7"", ""B""]"
BTEC - National Vocational Qualification,BTEC Photography (QCF),20,"[""Pass"", ""Merit"", ""Distinction*"", ""Distinction""]"
BTEC - National Vocational Qualification,BTEC 90-credit Music (QCF),20,"[""Distinction*"", ""Distinction"", ""Merit""]"
National Vocational Qualification,for Creative iMedia (QCF),20,"[""8"", ""B"", ""A"", ""5"", ""A*"", ""4"", ""9"", ""7""]"
i GCSE,Sociology ,19,"[""B"", ""A"", ""C"", ""A*""]"
GCSE,Hospitality,19,"[""6"", ""B"", ""A"", ""9"", ""2"", ""D"", ""4""]"
GCSE,Geology,19,"[""5"", ""9"", ""6"", ""A"", ""7"", ""4"", ""A*"", ""3""]"
Specialist Music,Geography,19,"[""A"", ""5"", ""8"", ""6"", ""7"", ""4"", ""2""]"
Specialist Music,Biology,19,"[""A*"", ""8"", ""A"", ""9"", ""6"", ""7"", ""4"", ""3"", ""5""]"
Specialist Music,Physics,19,"[""A"", ""8"", ""B"", ""5"", ""7"", ""9"", ""4"", ""6""]"
Specialist Music,Chemistry,19,"[""B"", ""8"", ""A"", ""7"", ""4"", ""3"", ""6"", ""5""]"
International Baccalaureate Diploma,Overall,19,"[""1"", ""B"", ""6"", ""A""]"
i GCSE,Drama,18,"[""B"", ""4"", ""D"", ""A"", ""6"", ""C"", ""A*"", ""7"", ""8"", ""9""]"
BTEC - National Vocational Qualification,BTEC 90-credit Construction and the Built Environment (QCF),18,"[""Merit"", ""Distinction"", ""Pass""]"
